fid,city,year_built,units
57826,Boston,1905,1
57827,Boston,1923,1
57828,Boston,1920,3
57829,Boston,1890,3
57830,Boston,1915,2
57832,Boston,2000,5
57833,Boston,1915,2
57834,Boston,1903,1
57835,Boston,1880,2
57836,Boston,1900,9
57837,Boston,1999,9
57838,Boston,1950,1
57839,Boston,1900,8
57841,Boston,1925,1
57842,Boston,1910,1
57843,Boston,1920,1
57844,Boston,1900,2
57845,Boston,1960,1
57846,Boston,1963,1
57847,Boston,1900,3
57848,Boston,1915,1
57849,Boston,1899,1
57850,Boston,1905,16
57851,Boston,1930,2
57853,Boston,2007,3
57854,Boston,1935,1
57855,Boston,1910,1
57856,Boston,1905,5
57857,Boston,1960,1
57858,Boston,1900,1
57859,Boston,1910,1
57860,Boston,1935,1
57861,Boston,1935,1
57863,Boston,1905,3
57864,Boston,1905,3
57866,Boston,1920,2
57867,Boston,1920,2
57868,Boston,1910,3
57869,Boston,1915,3
57870,Boston,1900,1
57871,Boston,1899,1
57873,Boston,1955,1
57874,Boston,1959,1
57875,Boston,1996,1
57876,Boston,1951,1
57877,Boston,1897,2
57878,Boston,1920,3
57879,Boston,1900,50
57880,Boston,1905,3
57881,Boston,1905,5
57882,Boston,1910,2
57883,Boston,1920,9
57884,Boston,1950,1
57885,Boston,1900,2
57887,Boston,1915,2
57889,Boston,1920,1
57890,Boston,1918,1
57893,Boston,1932,1
57895,Boston,1910,2
57896,Boston,1950,1
57898,Boston,1999,1
57899,Boston,1900,3
57900,Boston,1900,2
57901,Boston,1890,3
57902,Boston,1910,2
57903,Boston,1905,3
57904,Boston,1959,1
57905,Boston,1967,2
57906,Boston,1932,1
57907,Boston,1967,1
57908,Boston,1954,1
57909,Boston,1910,1
57910,Boston,1925,1
57911,Boston,1930,1
57912,Boston,1874,1
57913,Boston,1920,1
57914,Boston,1940,1
57915,Boston,1935,1
57917,Boston,1930,7
57918,Boston,1988,1
57919,Boston,1924,1
57920,Boston,1905,3
57921,Boston,1890,2
57922,Boston,1920,7
57923,Boston,1935,3
57924,Boston,1900,9
57925,Boston,1895,3
57926,Boston,1899,7
57927,Boston,1885,2
57928,Boston,1890,2
57929,Boston,1900,1
57930,Boston,1899,1
57931,Boston,1930,1
57932,Boston,1925,1
57933,Boston,1999,23
57935,Boston,1860,1
57937,Boston,1925,1
57938,Boston,1910,1
57939,Boston,1934,1
57940,Boston,1920,1
57941,Boston,1920,22
57942,Boston,1905,2
57943,Boston,2002,1
57944,Boston,1920,1
57945,Boston,2003,2
57946,Boston,1950,1
57947,Boston,1890,1
57948,Boston,1915,3
57949,Boston,1905,3
57950,Boston,1925,1
57951,Boston,1900,1
57952,Boston,1906,2
57953,Boston,1950,1
57954,Boston,1901,3
57955,Boston,1943,1
57956,Boston,1950,1
57957,Boston,1950,1
57958,Boston,1947,1
57959,Boston,1915,3
57960,Boston,1905,3
57961,Boston,1905,3
57962,Boston,1880,1
57963,Boston,1899,11
57964,Boston,1935,1
57965,Boston,1950,1
57966,Boston,1890,2
57967,Boston,1940,1
57968,Boston,1905,2
57969,Boston,1920,1
57970,Boston,1935,2
57971,Boston,1916,2
57972,Boston,1910,1
57973,Boston,1910,1
57974,Boston,1950,1
57975,Boston,1999,3
57976,Boston,1964,2
57977,Boston,1920,5
57978,Boston,1950,1
57979,Boston,1930,1
57980,Boston,1900,2
57981,Boston,1899,7
57984,Boston,1920,2
57985,Boston,1900,3
57986,Boston,1905,3
57987,Boston,1910,2
57988,Boston,1900,2
57989,Boston,1924,3
57990,Boston,1895,3
57991,Boston,1910,3
57992,Boston,1991,3
57993,Boston,1899,1
57994,Boston,1900,2
57995,Boston,1900,2
57996,Boston,1999,5
57997,Boston,1905,3
57998,Boston,1905,3
57999,Boston,1905,3
58000,Boston,1925,1
58001,Boston,1999,3
58002,Boston,1935,3
58003,Boston,1945,1
58004,Boston,2008,1
58005,Boston,1920,1
58006,Boston,1954,1
58007,Boston,1999,9
58008,Boston,1930,1
58009,Boston,1920,2
58010,Boston,1920,1
58011,Boston,2000,1
58012,Boston,1910,4
58013,Boston,1930,26
58014,Boston,1999,19
58015,Boston,1925,1
58016,Boston,1910,3
58017,Boston,1890,3
58018,Boston,1885,2
58020,Boston,1890,3
58021,Boston,1885,1
58022,Boston,1928,2
58023,Boston,1999,36
58024,Boston,1900,6
58025,Boston,1910,3
58026,Boston,1905,5
58028,Boston,1905,3
58029,Boston,1905,3
58030,Boston,1900,3
58031,Boston,1935,3
58032,Boston,1999,23
58033,Boston,1920,1
58034,Boston,1875,2
58036,Boston,1920,5
58037,Boston,1915,2
58038,Boston,1915,3
58039,Boston,1986,40
58040,Boston,1910,2
58041,Boston,1886,1
58042,Boston,1999,23
58044,Boston,2004,1
58045,Boston,1999,5
58046,Boston,1864,1
58047,Boston,1910,1
58048,Boston,1890,1
58049,Boston,1900,2
58051,Boston,1936,1
58052,Boston,1955,1
58053,Boston,1915,2
58055,Boston,1925,2
58056,Boston,1930,21
58058,Boston,2000,1
58059,Boston,1899,1
58060,Boston,1920,1
58061,Boston,1910,1
58062,Boston,1950,1
58063,Boston,1910,1
58064,Boston,1905,3
58065,Boston,1899,1
58067,Boston,1898,2
58068,Boston,1990,1
58069,Boston,1915,1
58070,Boston,1930,2
58071,Boston,1900,3
58072,Boston,1899,1
58073,Boston,1930,9
58075,Boston,1880,3
58076,Boston,1940,1
58077,Boston,1960,1
58079,Boston,1895,6
58080,Boston,1900,2
58085,Boston,2006,2
58086,Boston,1895,2
58087,Boston,1901,3
58088,Boston,2000,3
58089,Boston,1950,1
58090,Boston,1890,1
58091,Boston,1940,1
58092,Boston,1950,2
58093,Boston,1940,1
58094,Boston,1905,14
58095,Boston,1965,1
58096,Boston,1910,2
58097,Boston,1959,1
58098,Boston,1925,2
58099,Boston,1900,1
58100,Boston,1999,19
58101,Boston,1920,2
58102,Boston,2019,3
58103,Boston,1935,1
58104,Boston,1910,12
58105,Boston,2021,1
58107,Boston,1920,5
58108,Boston,1980,1
58109,Boston,1905,2
58110,Boston,1920,1
58111,Boston,1910,1
58112,Boston,1899,11
58113,Boston,1915,1
58114,Boston,1884,2
58115,Boston,1928,2
58116,Boston,1930,2
58117,Boston,1915,1
58118,Boston,1983,1
58119,Boston,1910,1
58120,Boston,1960,1
58121,Boston,1930,1
58122,Boston,2005,5
58123,Boston,1898,1
58124,Boston,1935,2
58125,Boston,1910,6
58126,Boston,1907,5
58127,Boston,1950,1
58128,Boston,1938,1
58129,Boston,1900,2
58130,Boston,1890,1
58131,Boston,1999,11
58132,Boston,1905,2
58133,Boston,1905,3
58134,Boston,1920,2
58136,Boston,1900,3
58137,Boston,1905,2
58138,Boston,1905,3
58139,Boston,1890,2
58140,Boston,1948,1
